suburb,url,keyword
Brighton,https://www.opalchauffeurs.com.au/brighton-airport-transfers/,Brighton airport transfers
Toorak,https://www.opalchauffeurs.com.au/toorak-airport-transfers/,Toorak airport transfers
Doncaster,https://www.opalchauffeurs.com.au/doncaster-airport-transfers/,Doncaster airport transfers
